state,good saddles,bad saddles,total saddles,unique saddles,force call saddle
0,105,35,140,4,2195
1,121,42,163,6,5349
2,104,43,147,5,3673
3,108,32,140,5,3706
4,110,30,140,5,2944
5,98,42,140,3,1360
6,100,40,140,3,1962
7,100,40,140,5,3061
8,109,38,147,4,2668
9,105,35,140,4,2361
