proc #,saddle energy,prefactor,product,product energy,product prefactor,barrier,rate,repeats
0,-1769.30721,2.07264e+12,3,-1769.34600,6.94485e+11,0.81223,4.69550e-02,0
1,-1768.82757,4.46188e+13,-1,-1768.83533,1.21225e+12,1.29187,8.85401e-09,0
2,-1770.06499,6.04142e+11,-1,-1770.89269,2.03940e+12,0.05445,7.35180e+10,4
3,-1769.85802,2.14863e+12,-1,-1770.05507,1.66182e+12,0.26142,8.72125e+07,0
4,-1770.10075,1.02520e+12,-1,-1771.41883,2.76954e+13,0.01869,4.97520e+11,4
5,-1770.06767,7.21727e+11,-1,-1770.13410,6.10021e+11,0.05177,9.74345e+10,2
6,-1770.05993,7.24262e+11,-1,-1770.12140,6.12895e+11,0.05951,7.24768e+10,7
7,-1770.05963,6.16129e+11,-1,-1770.10507,6.51459e+11,0.05981,6.09408e+10,4
8,-1770.05725,6.92579e+11,-1,-1770.10646,6.70614e+11,0.06219,6.24784e+10,3
9,-1770.07325,6.17228e+11,5,-1771.42564,1.89038e+13,0.04619,1.03382e+11,0
10,-1770.03117,9.33474e+11,-1,-1770.88535,2.86748e+12,0.08827,3.07121e+10,0
