proc #,saddle energy,prefactor,product,product energy,product prefactor,barrier,rate,repeats
0,-1772.55343,2.12868e+12,13,-1772.71946,1.76200e+12,0.27339,5.43710e+07,8
1,-1772.37994,1.89232e+12,-1,-1772.80221,2.00474e+12,0.44688,5.88444e+04,1
2,-1772.58979,2.73015e+12,16,-1772.81078,2.76284e+12,0.23703,2.84651e+08,1
3,-1772.32272,9.50308e+12,-1,-1772.82868,9.75809e+12,0.50410,3.23109e+04,1
4,-1772.53577,1.61399e+12,-1,-1772.82868,1.63905e+12,0.29105,2.08174e+07,1
5,-1772.58979,2.73870e+12,15,-1772.81078,2.78920e+12,0.23703,2.85560e+08,6
6,-1772.26866,1.20872e+13,-1,-1772.27705,1.19452e+12,0.55816,5.07809e+03,0
7,-1772.53577,1.61026e+12,-1,-1772.82868,1.61731e+12,0.29105,2.07698e+07,4
8,-1772.55371,2.06047e+12,-1,-1772.71440,1.69190e+12,0.27311,5.32088e+07,5
9,-1772.32272,9.52302e+12,-1,-1772.82868,9.67548e+12,0.50410,3.23816e+04,1
10,-1772.27051,1.01875e+13,-1,-1772.27688,9.28241e+11,0.55631,4.59627e+03,0
11,-1772.10613,7.26244e+12,-1,-1772.18096,1.07707e+12,0.72069,5.67648e+00,0
12,-1772.55343,2.09531e+12,-1,-1772.71946,1.74504e+12,0.27339,5.35094e+07,6
