proc #,saddle energy,prefactor,product,product energy,product prefactor,barrier,rate,repeats
0,-1772.54997,1.77242e+12,12,-1772.82431,2.14960e+12,0.16949,2.51921e+09,7
1,-1772.48026,2.77619e+12,-1,-1772.70633,2.82688e+12,0.23920,2.66136e+08,4
2,-1772.21538,9.59857e+12,-1,-1772.71709,9.84118e+12,0.50408,3.26634e+04,8
3,-1772.47994,2.80625e+12,-1,-1772.70754,2.83990e+12,0.23952,2.65702e+08,2
4,-1772.42975,1.61686e+12,-1,-1772.71709,1.62926e+12,0.28971,2.19630e+07,4
5,-1772.51709,2.41080e+12,-1,-1772.73058,2.53906e+12,0.20237,9.60591e+08,10
6,-1772.27954,1.90426e+12,-1,-1772.70576,2.03595e+12,0.43992,7.75183e+04,2
7,-1772.55343,1.76200e+12,14,-1772.82682,2.12868e+12,0.16603,2.86303e+09,4
8,-1772.52110,2.47182e+12,-1,-1772.73058,2.57953e+12,0.19836,1.15028e+09,6
9,-1772.54658,1.74969e+12,-1,-1772.82315,2.12118e+12,0.17288,2.18140e+09,4
10,-1772.42828,1.60684e+12,-1,-1772.72181,1.61683e+12,0.29118,2.06227e+07,0
