proc #,saddle energy,prefactor,product,product energy,product prefactor,barrier,rate,repeats
0,-1767.96486,7.10598e+11,-1,-1768.02279,6.05721e+11,0.04932,1.05443e+11,18
1,-1767.96453,6.52903e+11,1,-1768.05590,4.34539e+11,0.04966,9.56261e+10,6
2,-1767.95677,7.14169e+11,-1,-1768.01011,6.81692e+11,0.05742,7.74936e+10,7
3,-1767.94587,6.80995e+11,-1,-1768.00218,6.24165e+11,0.06832,4.84635e+10,10
4,-1767.94739,6.76163e+11,-1,-1768.00637,6.29643e+11,0.06679,5.10458e+10,1
5,-1767.95911,7.16400e+11,-1,-1768.01682,6.55821e+11,0.05508,8.50986e+10,2
6,-1767.98349,6.93839e+11,-1,-1770.08736,4.14416e+13,0.03070,2.11587e+11,0
7,-1767.96037,6.95075e+11,-1,-1768.02274,6.24247e+11,0.05382,8.66706e+10,2
8,-1767.96014,6.73532e+11,-1,-1768.02124,6.69898e+11,0.05405,8.32395e+10,0
9,-1767.95489,7.73429e+11,-1,-1767.96051,4.81618e+11,0.05930,7.80321e+10,0
