proc #,saddle energy,prefactor,product,product energy,product prefactor,barrier,rate,repeats
0,-1768.00206,6.31040e+11,1,-1768.05590,7.02243e+11,0.06262,5.59872e+10,4
1,-1768.00098,7.33538e+11,-1,-1768.05397,7.10678e+11,0.06370,6.24201e+10,1
2,-1767.97255,4.43026e+11,-1,-1768.02274,6.59243e+11,0.09213,1.25518e+10,3
3,-1768.04308,7.46898e+11,-1,-1769.49822,4.38268e+12,0.02160,3.23912e+11,3
4,-1768.00213,6.64125e+11,-1,-1768.79673,2.32743e+12,0.06255,5.90912e+10,3
5,-1768.00735,6.92253e+11,-1,-1768.06342,6.41108e+11,0.05733,7.53720e+10,1
6,-1768.03725,9.30458e+11,-1,-1769.49822,5.73963e+12,0.02743,3.21966e+11,2
7,-1768.05624,1.12610e+12,3,-1769.34600,4.17845e+13,0.00844,8.12357e+11,5
8,-1767.99976,7.12271e+11,-1,-1768.04871,6.93299e+11,0.06492,5.78190e+10,2
9,-1768.02589,6.58468e+11,-1,-1769.60977,8.63003e+12,0.03879,1.46831e+11,3
10,-1768.01183,7.05732e+11,-1,-1768.07495,6.45367e+11,0.05285,9.13829e+10,2
11,-1768.01367,7.39046e+11,-1,-1768.83533,2.27724e+12,0.05101,1.02754e+11,4
12,-1768.01197,6.87668e+11,-1,-1768.06771,6.35287e+11,0.05271,8.95280e+10,3
13,-1768.02713,6.82036e+11,-1,-1768.82235,2.27431e+12,0.03755,1.59592e+11,0
14,-1768.02401,6.81861e+11,-1,-1768.83533,2.08383e+12,0.04067,1.41393e+11,1
