state,good saddles,bad saddles,total saddles,unique saddles,force call saddle
0,50,120,170,3,1488
1,103,46,149,4,1776
2,64,38,102,12,3543
3,89,39,128,8,3100
4,63,48,111,6,2441
5,32,61,93,4,1835
6,63,39,102,8,2167
7,75,96,171,6,2045
8,59,28,87,9,2674
9,88,43,131,5,2044
