proc #,saddle energy,prefactor,product,product energy,product prefactor,barrier,rate,repeats,force call minimization,force call saddle
0,-1772.03129,1.00000e+12,1,-1772.07667,1.00000e+12,0.05849,1.04106e+11,9,431,482
1,-1772.00658,1.00000e+12,-1,-1772.05616,1.00000e+12,0.08320,4.00291e+10,4,437,426
2,-1771.63593,1.00000e+12,-1,-1772.18598,1.00000e+12,0.45384,2.37592e+04,0,585,816
3,-1772.07393,1.00000e+12,-1,-1773.54228,1.00000e+12,0.01584,5.41877e+11,10,533,444
4,-1772.04679,1.00000e+12,-1,-1773.62332,1.00000e+12,0.04298,1.89678e+11,7,491,878
5,-1771.63332,1.00000e+12,-1,-1772.20773,1.00000e+12,0.45645,2.14791e+04,0,595,813
6,-1772.06746,1.00000e+12,-1,-1773.66785,1.00000e+12,0.02231,4.21911e+11,0,543,901
