state,good saddles,bad saddles,total saddles,unique saddles,force call saddle
0,27,51,78,3,915
1,62,41,103,4,1389
2,43,33,76,6,1741
3,40,69,109,4,1355
4,59,43,102,3,997
5,51,71,122,4,1148
6,42,26,68,7,1449
7,40,37,77,11,2180
8,51,42,93,5,1618
9,58,38,96,4,1163
