proc #,saddle energy,prefactor,product,product energy,product prefactor,barrier,rate,repeats,force call minimization,force call saddle
0,-1773.56563,1.00000e+12,1,-1773.61778,1.00000e+12,0.05918,1.01345e+11,7,321,312
1,-1773.57319,1.00000e+12,-1,-1773.61696,1.00000e+12,0.05162,1.35770e+11,1,317,262
2,-1773.55376,1.00000e+12,-1,-1773.60747,1.00000e+12,0.07105,6.40282e+10,16,327,360
3,-1773.17755,1.00000e+12,-1,-1773.60913,1.00000e+12,0.44726,3.06409e+04,0,369,411
4,-1773.12293,1.00000e+12,-1,-1773.63918,1.00000e+12,0.50188,3.70458e+03,0,365,273
