state,good saddles,bad saddles,total saddles,unique saddles,force call saddle
0,58,36,94,10,6610
1,58,35,93,11,18632
2,29,21,50,5,13468
3,68,107,175,10,24134
4,92,194,286,8,59963
5,44,103,147,4,22022
6,95,190,285,10,34032
7,63,43,106,11,21137
8,102,202,304,10,27085
9,88,201,289,7,41957
