-0.068031	-0.044942 	-0.006348
-0.003657	-0.000537 	-0.000615
-0.035534	-0.034622 	-0.003886
-0.019159	-0.006406 	-0.002474
-0.003183	-0.014495 	0.002567
-0.013819	0.004455 	-0.001594
0.064552	0.977489 	0.002857
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0.000060	0.000227 	-0.000590
0.000072	-0.000663 	-0.000293
0.000026	-0.001408 	-0.000828
0.000452	-0.000690 	-0.000277
0.000693	-0.001843 	-0.000630
0.001857	-0.005505 	-0.001252
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
-0.000045	-0.000923 	-0.000953
0.000681	-0.001744 	-0.003154
0.001638	-0.006341 	-0.010152
0.001800	-0.003648 	-0.002922
0.003075	-0.011864 	-0.006811
0.005045	-0.009545 	-0.012748
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
-0.000785	0.000352 	0.001171
0.003009	-0.002752 	-0.001452
0.008416	-0.009244 	-0.008893
-0.002707	-0.001808 	0.005321
-0.012186	-0.008652 	0.024298
-0.010035	-0.007725 	0.016791
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0.001850	-0.002205 	-0.003672
-0.000653	-0.002196 	0.001478
0.000437	0.002027 	-0.001698
-0.003007	-0.005376 	0.005009
0.003823	0.010574 	-0.001951
0.002581	0.000959 	0.000053
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
-0.000429	-0.001622 	0.000311
0.000112	-0.001628 	-0.000151
0.000996	-0.002610 	-0.000681
-0.000041	-0.003014 	0.000055
0.001943	-0.002832 	0.000040
0.001467	-0.004016 	-0.000721
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0.000722	-0.001546 	-0.000949
0.000610	-0.001616 	-0.001656
0.001392	-0.003797 	-0.004429
0.001131	-0.003072 	-0.001430
0.002254	-0.005926 	-0.002519
-0.000250	-0.003272 	-0.003659
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
-0.000591	-0.001159 	0.000653
0.000450	-0.000508 	0.000924
0.000085	-0.001269 	0.005466
-0.001405	-0.001336 	-0.000097
-0.004083	-0.003483 	0.002966
-0.002962	-0.003135 	0.002761
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
-0.000213	-0.001392 	0.002119
-0.000391	-0.001067 	0.000122
-0.000949	-0.003443 	0.000942
-0.000544	-0.001680 	0.000803
-0.000986	-0.005302 	0.001642
0.000779	-0.004237 	0.000173
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
-0.000134	-0.001221 	-0.000148
0.000111	-0.001407 	-0.000255
0.000394	-0.003030 	-0.000464
0.000108	-0.002667 	-0.000340
0.000964	-0.003971 	-0.000281
0.000015	-0.003267 	-0.000474
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0.000451	-0.001652 	-0.000440
0.000076	-0.001155 	-0.001155
-0.000422	-0.002250 	-0.002471
-0.000178	-0.002290 	-0.000472
-0.000443	-0.003299 	-0.001170
-0.005304	-0.001944 	-0.002896
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0.000081	-0.000567 	-0.000138
0.000378	-0.000382 	0.000155
-0.000082	-0.000923 	0.000262
0.000175	-0.000857 	-0.000496
-0.002031	-0.001118 	-0.001348
0.000202	-0.002284 	-0.000494
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
-0.000101	-0.000548 	0.000050
-0.000120	-0.000831 	-0.000167
-0.000157	-0.002284 	-0.000135
0.000116	-0.001448 	-0.000143
0.000121	-0.003706 	0.000202
0.000878	-0.004011 	-0.000288
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
-0.000050	-0.001291 	-0.000223
-0.000139	-0.001325 	-0.000207
-0.000167	-0.002467 	-0.000335
-0.000057	-0.002745 	-0.000336
0.000277	-0.003680 	-0.000441
-0.001425	-0.002767 	-0.000149
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0.000121	-0.001136 	-0.000029
-0.000133	-0.000935 	-0.001049
-0.002157	-0.001883 	-0.002778
-0.001258	-0.001519 	0.000424
-0.002859	-0.002004 	0.000318
-0.008615	-0.002037 	-0.006766
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0.000863	-0.000302 	-0.000076
0.000606	-0.000106 	0.000436
0.000855	-0.001056 	0.000778
0.002226	0.000080 	0.000172
-0.000554	-0.002059 	0.000067
