proc #,saddle energy,prefactor,product,product energy,product prefactor,barrier,rate,repeats,force call minimization,force call saddle
0,-1770.32830,1.00000e+12,-1,-1770.74941,1.00000e+12,0.43430,5.05954e+04,0,283,168
1,-1770.70755,1.00000e+12,-1,-1770.75815,1.00000e+12,0.05505,1.18895e+11,0,253,157
2,-1770.71113,1.00000e+12,-1,-1770.77734,1.00000e+12,0.05147,1.36558e+11,12,255,150
3,-1770.72620,1.00000e+12,1,-1771.39767,1.00000e+12,0.03640,2.44618e+11,5,357,197
4,-1770.70610,1.00000e+12,-1,-1770.76543,1.00000e+12,0.05650,1.12426e+11,5,249,188
5,-1770.73689,1.00000e+12,-1,-1773.62692,1.00000e+12,0.02571,3.69845e+11,2,671,214
6,-1770.68453,1.00000e+12,-1,-1770.72636,1.00000e+12,0.07807,4.88084e+10,4,257,193
7,-1770.68240,1.00000e+12,-1,-1770.73087,1.00000e+12,0.08020,4.49415e+10,10,253,206
8,-1770.74358,1.00000e+12,-1,-1772.20173,1.00000e+12,0.01902,4.79141e+11,0,355,168
9,-1770.70029,1.00000e+12,-1,-1770.75701,1.00000e+12,0.06231,8.97912e+10,0,247,145
