proc #,saddle energy,prefactor,product,product energy,product prefactor,barrier,rate,repeats
0,-1767.96453,4.34539e+11,0,-1768.01419,6.52903e+11,0.09137,1.26789e+10,3
1,-1767.99360,7.14118e+11,-1,-1768.04201,6.78780e+11,0.06230,6.41533e+10,6
2,-1768.02790,8.38072e+11,-1,-1768.77120,3.85573e+12,0.02800,2.83715e+11,2
3,-1767.97588,6.30366e+11,-1,-1768.02757,6.56943e+11,0.08002,2.85256e+10,3
4,-1767.99193,7.22853e+11,-1,-1768.04855,7.12154e+11,0.06397,6.08600e+10,4
5,-1768.03155,7.64958e+11,-1,-1768.68858,2.35608e+12,0.02435,2.98229e+11,2
6,-1768.00046,6.86484e+11,-1,-1768.05610,6.46815e+11,0.05544,8.03896e+10,4
7,-1768.02340,6.76470e+11,-1,-1769.61234,8.52506e+12,0.03250,1.92411e+11,1
8,-1767.99338,6.93292e+11,-1,-1768.05215,6.85096e+11,0.06252,6.17556e+10,2
9,-1768.04769,1.28350e+12,-1,-1769.33707,4.81680e+13,0.00821,9.34093e+11,6
10,-1768.00278,6.94529e+11,-1,-1768.05891,6.29592e+11,0.05312,8.89980e+10,1
11,-1768.00266,7.03664e+11,-1,-1768.06730,6.33336e+11,0.05324,8.97248e+10,4
12,-1767.99616,7.18785e+11,-1,-1768.05880,6.07733e+11,0.05974,7.12792e+10,2
13,-1768.00206,7.02243e+11,2,-1768.06468,6.31040e+11,0.05384,8.74981e+10,3
14,-1767.99815,7.19415e+11,-1,-1768.05198,6.97948e+11,0.05775,7.70665e+10,1
