proc #,saddle energy,prefactor,product,product energy,product prefactor,barrier,rate,repeats
0,-1772.54011,1.62934e+12,17,-1772.82430,1.63904e+12,0.31188,9.39002e+06,1
1,-1772.61689,2.75837e+12,-1,-1772.83592,2.70645e+12,0.23510,3.09879e+08,1
2,-1772.55899,2.13325e+12,-1,-1772.72181,1.81599e+12,0.29300,2.55147e+07,6
3,-1772.29619,9.70354e+12,-1,-1772.30152,8.16649e+11,0.55580,4.46609e+03,0
4,-1772.58738,2.75440e+12,-1,-1772.81283,2.76050e+12,0.26461,9.88129e+07,1
5,-1772.63937,2.25105e+12,19,-1773.66318,4.47383e+12,0.21262,6.03260e+08,6
6,-1772.28138,8.18333e+12,-1,-1772.28792,7.84258e+11,0.57061,2.12384e+03,0
7,-1772.58024,2.07293e+12,-1,-1772.74663,1.71186e+12,0.27175,5.64134e+07,4
8,-1772.49093,2.59984e+12,-1,-1773.66318,4.95200e+12,0.36106,2.23575e+06,2
9,-1772.33445,1.01305e+13,-1,-1772.83365,9.83182e+12,0.51754,2.04783e+04,1
10,-1772.33890,9.88326e+12,-1,-1772.83748,9.55521e+12,0.51309,2.37361e+04,2
