proc #,saddle energy,prefactor,product,product energy,product prefactor,barrier,rate,repeats
0,-1772.58982,2.71440e+12,16,-1772.81078,2.77281e+12,0.23448,3.12313e+08,4
1,-1772.55818,2.12879e+12,-1,-1772.72883,1.73393e+12,0.26612,7.20360e+07,14
2,-1772.54997,2.17338e+12,-1,-1772.71946,1.80600e+12,0.27433,5.35402e+07,16
3,-1772.55479,2.12818e+12,-1,-1772.72714,1.71951e+12,0.26951,6.31500e+07,14
4,-1772.32002,9.31914e+12,-1,-1772.82588,9.58020e+12,0.50428,3.14627e+04,3
5,-1772.27386,1.37440e+13,-1,-1772.28537,1.37088e+12,0.55044,7.78245e+03,1
6,-1772.26974,9.78814e+12,-1,-1772.27685,9.01236e+11,0.55456,4.72557e+03,3
7,-1772.26628,1.42770e+13,-1,-1772.27650,1.48228e+12,0.55802,6.03059e+03,2
8,-1772.53394,1.59565e+12,-1,-1772.82588,1.60137e+12,0.29036,2.11393e+07,4
9,-1772.37902,1.88447e+12,-1,-1772.80596,2.00792e+12,0.44528,6.23439e+04,5
10,-1772.59093,2.93572e+12,-1,-1772.83365,2.83307e+12,0.23337,3.52600e+08,4
11,-1772.10657,7.51945e+12,-1,-1772.18501,1.18924e+12,0.71773,6.58991e+00,0
12,-1772.33445,9.61259e+12,-1,-1772.85199,9.97049e+12,0.48985,5.67117e+04,0
13,-1772.54011,1.63904e+12,18,-1772.85199,1.62934e+12,0.28419,2.75632e+07,1
