proc #,saddle energy,prefactor,product,product energy,product prefactor,barrier,rate,repeats
0,-1772.58982,2.70477e+12,11,-1772.81078,2.75914e+12,0.23449,3.11084e+08,2
1,-1772.55479,2.11420e+12,-1,-1772.72714,1.71436e+12,0.26952,6.27176e+07,5
2,-1772.32002,9.37662e+12,-1,-1772.82588,9.70578e+12,0.50429,3.16466e+04,4
3,-1772.26628,1.40344e+13,-1,-1772.27650,1.45699e+12,0.55803,5.92648e+03,3
4,-1772.26974,9.33126e+12,-1,-1772.27686,8.63650e+11,0.55457,4.50405e+03,1
5,-1772.55819,2.16748e+12,-1,-1772.72883,1.77595e+12,0.26612,7.33365e+07,6
6,-1772.54997,2.14960e+12,13,-1772.71946,1.77242e+12,0.27434,5.29334e+07,9
7,-1772.27386,1.49129e+13,-1,-1772.28537,1.50989e+12,0.55045,8.44231e+03,1
8,-1772.53394,1.60401e+12,-1,-1772.82588,1.62112e+12,0.29037,2.12437e+07,1
9,-1772.59094,2.97418e+12,-1,-1772.83366,2.86520e+12,0.23337,3.57189e+08,3
10,-1772.37902,1.89350e+12,-1,-1772.80597,2.00779e+12,0.44529,6.26255e+04,4
