state,good saddles,bad saddles,total saddles,unique saddles,force call saddle
0,23,3,26,2,370
1,22,6,28,2,358
2,22,13,35,2,363
3,33,12,45,3,598
4,25,4,29,2,370
5,22,5,27,2,361
6,35,11,46,3,565
7,24,9,33,2,385
8,29,5,34,2,362
9,29,4,33,2,386
