proc #,saddle energy,prefactor,product,product energy,product prefactor,barrier,rate,repeats,force call minimization,force call saddle
0,-1206.45379,1.00000e+12,-1,-1206.82582,1.00000e+12,0.37203,5.62528e+05,4,177,196
1,-1206.07422,1.00000e+12,-1,-1206.82582,1.00000e+12,0.75160,2.36407e-01,0,243,346
2,-1206.45379,1.00000e+12,-1,-1206.82582,1.00000e+12,0.37203,5.62527e+05,3,177,196
3,-1206.07422,1.00000e+12,-1,-1206.82582,1.00000e+12,0.75160,2.36407e-01,0,231,272
4,-1206.45379,1.00000e+12,-1,-1206.82582,1.00000e+12,0.37203,5.62526e+05,4,177,753
5,-1206.37342,1.00000e+12,-1,-1206.82583,1.00000e+12,0.45240,2.51203e+04,0,231,447
6,-1206.36631,1.00000e+12,-1,-1206.82582,1.00000e+12,0.45951,1.90796e+04,2,211,532
7,-1206.07422,1.00000e+12,-1,-1206.82582,1.00000e+12,0.75160,2.36407e-01,0,219,227
8,-1206.36631,1.00000e+12,-1,-1206.82582,1.00000e+12,0.45951,1.90797e+04,0,205,346
9,-1206.38806,1.00000e+12,-1,-1206.40518,1.00000e+12,0.43777,4.42468e+04,0,225,142
10,-1206.38804,1.00000e+12,-1,-1206.40518,1.00000e+12,0.43778,4.42151e+04,0,241,217
11,-1206.36631,1.00000e+12,-1,-1206.82582,1.00000e+12,0.45951,1.90798e+04,1,205,346
12,-1206.36631,1.00000e+12,-1,-1206.82582,1.00000e+12,0.45951,1.90768e+04,1,211,906
13,-1206.38806,1.00000e+12,-1,-1206.40518,1.00000e+12,0.43776,4.42470e+04,0,225,142
14,-1206.07422,1.00000e+12,-1,-1206.82582,1.00000e+12,0.75160,2.36407e-01,0,241,800
15,-1206.36631,1.00000e+12,-1,-1206.82582,1.00000e+12,0.45952,1.90763e+04,1,203,1146
16,-1206.59297,1.00000e+12,-1,-1206.82582,1.00000e+12,0.23285,1.22543e+08,1,205,131
17,-1206.38806,1.00000e+12,-1,-1206.40518,1.00000e+12,0.43777,4.42466e+04,0,225,142
18,-1206.38806,1.00000e+12,-1,-1206.40518,1.00000e+12,0.43777,4.42466e+04,1,225,142
19,-1206.45379,1.00000e+12,-1,-1206.82582,1.00000e+12,0.37203,5.62528e+05,4,175,787
20,-1206.37341,1.00000e+12,-1,-1206.82583,1.00000e+12,0.45242,2.51056e+04,0,237,442
21,-1206.38804,1.00000e+12,-1,-1206.40518,1.00000e+12,0.43778,4.42149e+04,0,241,217
22,-1206.38804,1.00000e+12,-1,-1206.40518,1.00000e+12,0.43778,4.42153e+04,0,237,217
23,-1206.37342,1.00000e+12,-1,-1206.82583,1.00000e+12,0.45240,2.51203e+04,0,233,374
24,-1206.37342,1.00000e+12,-1,-1206.82583,1.00000e+12,0.45240,2.51205e+04,0,231,326
25,-1206.59297,1.00000e+12,-1,-1206.82582,1.00000e+12,0.23285,1.22543e+08,4,205,131
26,-1206.37342,1.00000e+12,-1,-1206.82583,1.00000e+12,0.45240,2.51204e+04,1,227,9868
27,-1206.59297,1.00000e+12,1,-1206.82582,1.00000e+12,0.23285,1.22543e+08,1,205,131
28,-1206.36631,1.00000e+12,-1,-1206.82582,1.00000e+12,0.45951,1.90797e+04,0,207,225
29,-1206.36631,1.00000e+12,-1,-1206.82582,1.00000e+12,0.45951,1.90798e+04,1,205,346
30,-1206.37342,1.00000e+12,-1,-1206.82583,1.00000e+12,0.45240,2.51204e+04,1,235,648
31,-1206.38804,1.00000e+12,-1,-1206.40518,1.00000e+12,0.43778,4.42153e+04,0,237,217
32,-1206.36631,1.00000e+12,-1,-1206.82582,1.00000e+12,0.45951,1.90796e+04,1,207,225
33,-1206.59297,1.00000e+12,-1,-1206.82582,1.00000e+12,0.23285,1.22544e+08,4,205,131
34,-1206.36629,1.00000e+12,-1,-1206.82582,1.00000e+12,0.45953,1.90650e+04,0,207,766
35,-1206.36631,1.00000e+12,-1,-1206.82582,1.00000e+12,0.45951,1.90797e+04,0,205,675
