state,good saddles,bad saddles,total saddles,unique saddles,force call saddle
0,83,110,193,36,23155
1,83,109,192,37,16107
2,79,114,193,38,11392
3,79,138,217,37,16059
4,94,161,255,38,19159
5,97,192,289,36,14243
6,113,189,302,41,15431
7,82,104,186,35,19078
8,109,230,339,41,16980
9,157,393,550,41,24078
