proc #,saddle energy,prefactor,product,product energy,product prefactor,barrier,rate,repeats,force call minimization,force call saddle
0,-1772.17249,1.00000e+12,-1,-1772.23985,1.00000e+12,0.05495,1.19389e+11,15,253,176
1,-1772.15936,1.00000e+12,-1,-1772.21474,1.00000e+12,0.06808,7.18313e+10,10,245,175
2,-1772.15290,1.00000e+12,-1,-1772.20815,1.00000e+12,0.07454,5.59576e+10,10,243,198
3,-1772.20967,1.00000e+12,-1,-1772.90394,1.00000e+12,0.01777,5.02853e+11,12,319,265
4,-1772.14947,1.00000e+12,-1,-1772.19757,1.00000e+12,0.07797,4.89948e+10,0,239,302
5,-1772.21235,1.00000e+12,1,-1772.90394,1.00000e+12,0.01509,5.57813e+11,2,333,208
