state,good saddles,bad saddles,total saddles,unique saddles,force call saddle
0,29,16,45,3,1444
1,46,11,57,4,1126
2,55,24,79,6,1324
3,26,21,47,2,732
4,68,25,93,3,1047
5,60,29,89,4,1106
6,34,11,45,5,1262
7,60,26,86,6,1274
8,43,19,62,3,983
9,42,7,49,2,679
