proc #,saddle energy,prefactor,product,product energy,product prefactor,barrier,rate,repeats,force call minimization,force call saddle
0,-1768.83843,1.00000e+12,-1,-1770.17290,1.00000e+12,0.75333,2.21132e-01,0,469,432
1,-1768.79702,1.00000e+12,-1,-1768.83487,1.00000e+12,0.79474,4.45692e-02,0,391,308
2,-1768.79751,1.00000e+12,-1,-1768.83491,1.00000e+12,0.79424,4.54290e-02,0,395,274
3,-1769.57908,1.00000e+12,-1,-1770.85653,1.00000e+12,0.01268,6.12353e+11,0,489,418
4,-1769.55728,1.00000e+12,-1,-1771.18461,1.00000e+12,0.03448,2.63490e+11,3,467,412
5,-1769.50177,1.00000e+12,-1,-1769.54564,1.00000e+12,0.08999,3.07803e+10,21,349,306
6,-1769.56060,1.00000e+12,1,-1774.99453,1.00000e+12,0.03116,2.99614e+11,0,793,464
