proc #,saddle energy,prefactor,product,product energy,product prefactor,barrier,rate,repeats,force call minimization,force call saddle
0,-1206.07421,1.00000e+12,-1,-1206.82583,1.00000e+12,0.75162,2.36258e-01,0,223,336
1,-1206.45379,1.00000e+12,-1,-1206.82583,1.00000e+12,0.37203,5.62516e+05,2,171,181
2,-1206.07421,1.00000e+12,-1,-1206.82583,1.00000e+12,0.75162,2.36270e-01,0,243,286
3,-1206.45379,1.00000e+12,-1,-1206.82583,1.00000e+12,0.37204,5.62336e+05,1,171,181
4,-1206.45379,1.00000e+12,-1,-1206.82583,1.00000e+12,0.37204,5.62423e+05,2,175,782
5,-1206.07422,1.00000e+12,-1,-1206.82583,1.00000e+12,0.75160,2.36398e-01,0,223,272
6,-1206.37343,1.00000e+12,-1,-1206.82583,1.00000e+12,0.45240,2.51219e+04,0,223,309
7,-1206.07421,1.00000e+12,-1,-1206.82583,1.00000e+12,0.75162,2.36258e-01,0,243,286
8,-1206.07422,1.00000e+12,-1,-1206.82583,1.00000e+12,0.75160,2.36388e-01,0,241,269
9,-1206.36632,1.00000e+12,-1,-1206.82583,1.00000e+12,0.45951,1.90814e+04,0,197,349
10,-1206.07422,1.00000e+12,-1,-1206.82583,1.00000e+12,0.75160,2.36398e-01,0,203,186
11,-1206.38807,1.00000e+12,-1,-1206.40518,1.00000e+12,0.43776,4.42614e+04,0,217,142
12,-1206.38805,1.00000e+12,-1,-1206.40518,1.00000e+12,0.43778,4.42246e+04,0,229,301
13,-1206.36632,1.00000e+12,-1,-1206.82583,1.00000e+12,0.45950,1.90845e+04,0,197,343
14,-1206.45379,1.00000e+12,-1,-1206.82582,1.00000e+12,0.37204,5.62366e+05,2,175,530
15,-1206.07422,1.00000e+12,-1,-1206.82583,1.00000e+12,0.75161,2.36368e-01,0,221,431
16,-1206.07421,1.00000e+12,-1,-1206.82583,1.00000e+12,0.75162,2.36258e-01,0,239,210
17,-1206.38807,1.00000e+12,-1,-1206.40519,1.00000e+12,0.43775,4.42686e+04,0,213,142
18,-1206.59299,1.00000e+12,1,-1206.82583,1.00000e+12,0.23284,1.22599e+08,8,197,131
19,-1206.38806,1.00000e+12,-1,-1206.40518,1.00000e+12,0.43776,4.42526e+04,0,213,142
20,-1206.38807,1.00000e+12,-1,-1206.40518,1.00000e+12,0.43776,4.42560e+04,0,211,142
21,-1206.37342,1.00000e+12,-1,-1206.82583,1.00000e+12,0.45240,2.51174e+04,0,221,420
22,-1206.36632,1.00000e+12,-1,-1206.82582,1.00000e+12,0.45951,1.90836e+04,3,199,415
23,-1206.36631,1.00000e+12,-1,-1206.82582,1.00000e+12,0.45951,1.90790e+04,3,199,225
24,-1206.38805,1.00000e+12,-1,-1206.40518,1.00000e+12,0.43778,4.42209e+04,1,233,217
25,-1206.38807,1.00000e+12,-1,-1206.40519,1.00000e+12,0.43775,4.42650e+04,0,233,362
26,-1206.37341,1.00000e+12,-1,-1206.82582,1.00000e+12,0.45242,2.51011e+04,0,219,720
27,-1206.37344,1.00000e+12,-1,-1206.82583,1.00000e+12,0.45239,2.51291e+04,0,225,308
28,-1206.59299,1.00000e+12,-1,-1206.82583,1.00000e+12,0.23284,1.22599e+08,12,197,131
29,-1206.59298,1.00000e+12,-1,-1206.82582,1.00000e+12,0.23284,1.22573e+08,11,197,131
30,-1206.36632,1.00000e+12,-1,-1206.82583,1.00000e+12,0.45950,1.90857e+04,1,199,225
31,-1206.36633,1.00000e+12,-1,-1206.82583,1.00000e+12,0.45950,1.90867e+04,0,205,667
32,-1206.37343,1.00000e+12,-1,-1206.82583,1.00000e+12,0.45240,2.51246e+04,0,233,576
33,-1206.38807,1.00000e+12,-1,-1206.40518,1.00000e+12,0.43775,4.42650e+04,0,229,273
34,-1206.36634,1.00000e+12,-1,-1206.82583,1.00000e+12,0.45949,1.90950e+04,1,197,654
35,-1206.36633,1.00000e+12,-1,-1206.82583,1.00000e+12,0.45950,1.90870e+04,0,201,225
36,-1206.37342,1.00000e+12,-1,-1206.82582,1.00000e+12,0.45240,2.51190e+04,0,221,310
37,-1206.59299,1.00000e+12,-1,-1206.82583,1.00000e+12,0.23283,1.22626e+08,8,197,131
38,-1206.11092,1.00000e+12,-1,-1206.11184,1.00000e+12,0.71491,9.77530e-01,0,225,1086
39,-1206.11094,1.00000e+12,-1,-1206.11184,1.00000e+12,0.71489,9.78295e-01,1,225,1740
40,-1206.36632,1.00000e+12,-1,-1206.82582,1.00000e+12,0.45951,1.90798e+04,0,197,664
