proc #,saddle energy,prefactor,product,product energy,product prefactor,barrier,rate,repeats,force call minimization,force call saddle
0,-1206.45379,1.00000e+12,-1,-1206.82583,1.00000e+12,0.37204,5.62340e+05,2,175,159
1,-1206.36632,1.00000e+12,-1,-1206.82583,1.00000e+12,0.45951,1.90835e+04,1,199,415
2,-1206.07422,1.00000e+12,-1,-1206.82583,1.00000e+12,0.75161,2.36373e-01,0,213,259
3,-1206.45379,1.00000e+12,-1,-1206.82583,1.00000e+12,0.37204,5.62320e+05,2,175,159
4,-1206.36632,1.00000e+12,-1,-1206.82582,1.00000e+12,0.45951,1.90821e+04,1,197,447
5,-1206.37343,1.00000e+12,-1,-1206.82583,1.00000e+12,0.45240,2.51225e+04,0,231,342
6,-1206.07423,1.00000e+12,-1,-1206.82583,1.00000e+12,0.75160,2.36385e-01,0,203,186
7,-1206.07421,1.00000e+12,-1,-1206.82583,1.00000e+12,0.75162,2.36243e-01,0,223,419
8,-1206.45379,1.00000e+12,-1,-1206.82583,1.00000e+12,0.37204,5.62373e+05,2,173,461
9,-1206.38807,1.00000e+12,-1,-1206.40518,1.00000e+12,0.43776,4.42575e+04,0,213,142
10,-1206.07421,1.00000e+12,-1,-1206.82583,1.00000e+12,0.75162,2.36251e-01,0,243,286
11,-1206.38805,1.00000e+12,-1,-1206.40518,1.00000e+12,0.43778,4.42258e+04,0,231,482
12,-1206.36633,1.00000e+12,-1,-1206.82583,1.00000e+12,0.45950,1.90857e+04,0,197,346
13,-1206.45379,1.00000e+12,-1,-1206.82583,1.00000e+12,0.37204,5.62318e+05,2,171,584
14,-1206.07421,1.00000e+12,-1,-1206.82583,1.00000e+12,0.75162,2.36251e-01,0,219,336
15,-1206.38807,1.00000e+12,-1,-1206.40518,1.00000e+12,0.43776,4.42574e+04,0,211,142
16,-1206.07421,1.00000e+12,-1,-1206.82583,1.00000e+12,0.75162,2.36243e-01,0,241,263
17,-1206.59299,1.00000e+12,-1,-1206.82583,1.00000e+12,0.23284,1.22609e+08,7,197,131
18,-1206.38808,1.00000e+12,-1,-1206.40519,1.00000e+12,0.43775,4.42665e+04,0,213,142
19,-1206.38807,1.00000e+12,-1,-1206.40518,1.00000e+12,0.43776,4.42607e+04,0,211,142
20,-1206.37343,1.00000e+12,-1,-1206.82583,1.00000e+12,0.45240,2.51246e+04,0,223,420
21,-1206.08031,1.00000e+12,-1,-1206.82583,1.00000e+12,0.74552,2.99075e-01,0,335,6203
22,-1206.36633,1.00000e+12,-1,-1206.82583,1.00000e+12,0.45950,1.90857e+04,0,199,225
23,-1206.38807,1.00000e+12,-1,-1206.40518,1.00000e+12,0.43776,4.42610e+04,0,229,319
24,-1206.36633,1.00000e+12,-1,-1206.82583,1.00000e+12,0.45950,1.90846e+04,1,197,717
25,-1206.38807,1.00000e+12,-1,-1206.40518,1.00000e+12,0.43776,4.42572e+04,0,209,322
26,-1206.37341,1.00000e+12,-1,-1206.82583,1.00000e+12,0.45242,2.51056e+04,0,227,548
27,-1206.36633,1.00000e+12,-1,-1206.82583,1.00000e+12,0.45950,1.90847e+04,0,199,346
28,-1206.37344,1.00000e+12,-1,-1206.82583,1.00000e+12,0.45239,2.51258e+04,0,225,581
29,-1206.59300,1.00000e+12,-1,-1206.82583,1.00000e+12,0.23283,1.22636e+08,5,197,131
30,-1206.59300,1.00000e+12,1,-1206.82583,1.00000e+12,0.23283,1.22636e+08,3,197,131
31,-1206.36632,1.00000e+12,-1,-1206.82582,1.00000e+12,0.45951,1.90823e+04,0,199,225
32,-1206.37342,1.00000e+12,-1,-1206.82583,1.00000e+12,0.45241,2.51101e+04,0,229,320
33,-1206.38808,1.00000e+12,-1,-1206.40519,1.00000e+12,0.43775,4.42664e+04,0,227,318
34,-1206.36632,1.00000e+12,-1,-1206.82583,1.00000e+12,0.45951,1.90835e+04,1,201,682
35,-1206.37343,1.00000e+12,-1,-1206.82583,1.00000e+12,0.45240,2.51203e+04,0,229,321
36,-1206.59299,1.00000e+12,-1,-1206.82583,1.00000e+12,0.23284,1.22609e+08,6,197,131
37,-1206.11093,1.00000e+12,-1,-1206.11185,1.00000e+12,0.71490,9.77666e-01,1,231,1376
