proc #,saddle energy,prefactor,product,product energy,product prefactor,barrier,rate,repeats
0,-1768.67221,4.35152e+11,4,-1768.72042,6.17755e+11,0.07747,2.17372e+10,4
1,-1768.69137,7.31491e+11,-1,-1768.69521,4.37006e+11,0.05831,7.66795e+10,1
2,-1768.74604,6.42902e+11,-1,-1770.85142,5.98459e+13,0.00364,5.58517e+11,14
3,-1768.71140,5.84438e+11,-1,-1769.49601,2.85631e+12,0.03828,1.32960e+11,3
4,-1768.67307,6.40088e+11,-1,-1768.67531,4.35538e+11,0.07661,3.30533e+10,1
5,-1768.74751,4.00124e+11,-1,-1768.80737,7.32403e+11,0.00217,3.67958e+11,1
6,-1768.69298,5.34557e+11,-1,-1769.46315,3.05122e+12,0.05670,5.96321e+10,3
7,-1768.67955,4.90828e+11,-1,-1768.72876,5.63151e+11,0.07013,3.25679e+10,3
8,-1768.69087,6.72710e+11,-1,-1768.75018,6.78264e+11,0.05881,6.91605e+10,1
9,-1768.69988,7.00478e+11,6,-1768.76783,7.18993e+11,0.04980,1.02035e+11,2
10,-1768.70260,7.60735e+11,-1,-1768.71358,5.51564e+11,0.04708,1.23117e+11,1
11,-1768.67042,4.68553e+11,-1,-1768.71864,6.53751e+11,0.07926,2.18437e+10,1
12,-1768.74628,4.12134e+11,-1,-1768.80291,7.80177e+11,0.00340,3.61371e+11,1
13,-1768.66450,7.21862e+11,-1,-1768.66457,1.59689e+11,0.08518,2.67644e+10,1
