proc #,saddle energy,prefactor,product,product energy,product prefactor,barrier,rate,repeats
0,-1768.65578,6.60621e+11,3,-1768.70863,7.55320e+11,0.06464,5.42063e+10,3
1,-1768.66897,7.14951e+11,-1,-1768.73708,6.90985e+11,0.05145,9.76999e+10,4
2,-1768.69483,6.92067e+11,-1,-1769.43565,2.23162e+11,0.02559,2.57160e+11,3
3,-1768.67255,6.77378e+11,-1,-1769.44210,2.82151e+12,0.04787,1.06317e+11,4
4,-1768.66107,6.46773e+11,-1,-1768.71742,6.84155e+11,0.05935,6.51282e+10,3
5,-1768.68356,6.45338e+11,-1,-1769.46994,2.50873e+12,0.03686,1.55075e+11,3
6,-1768.65590,6.57115e+11,-1,-1768.70752,5.50135e+11,0.06452,5.41669e+10,4
7,-1768.71817,3.99798e+11,-1,-1768.77850,7.17687e+11,0.00225,3.66405e+11,1
8,-1768.65318,7.73674e+11,-1,-1768.65686,4.49126e+11,0.06724,5.73982e+10,1
9,-1768.65892,7.55733e+11,-1,-1768.66255,4.04739e+11,0.06150,7.00068e+10,1
10,-1768.71696,4.10769e+11,-1,-1768.77460,7.56888e+11,0.00346,3.59376e+11,1
11,-1768.63613,8.70535e+11,-1,-1768.63699,2.62206e+11,0.08429,3.33992e+10,2
12,-1768.67111,6.24210e+11,-1,-1768.67984,5.55156e+11,0.04931,9.26653e+10,1
13,-1768.68671,6.67740e+11,-1,-1769.47746,2.23982e+12,0.03371,1.81290e+11,3
14,-1768.67221,6.17755e+11,5,-1768.74968,4.35152e+11,0.04821,9.57049e+10,2
