proc #,saddle energy,prefactor,product,product energy,product prefactor,barrier,rate,repeats
0,-1770.79861,4.40909e+11,14,-1770.85405,6.49269e+11,0.00288,3.94427e+11,3
1,-1770.28983,6.40321e+12,-1,-1770.32732,9.15231e+11,0.51166,1.62494e+04,3
2,-1770.73821,7.75840e+11,-1,-1770.74139,3.55503e+11,0.06328,6.71045e+10,2
3,-1770.56896,1.63662e+12,-1,-1770.78966,1.61714e+12,0.23253,2.03039e+08,1
4,-1770.29239,5.54397e+12,-1,-1770.32009,6.79324e+11,0.50910,1.55330e+04,3
5,-1770.60463,4.89773e+11,-1,-1771.70077,1.68827e+12,0.19686,2.41490e+08,7
6,-1770.73651,7.71628e+11,-1,-1770.74184,4.70374e+11,0.06498,6.24982e+10,5
7,-1770.72548,8.53141e+11,-1,-1770.72806,3.22831e+11,0.07601,4.50886e+10,1
8,-1770.79261,4.69916e+11,-1,-1770.84402,7.10988e+11,0.00888,3.33310e+11,3
9,-1770.74918,6.52244e+11,-1,-1770.75701,5.22768e+11,0.05231,8.62303e+10,2
10,-1770.55221,2.78534e+12,-1,-1770.72926,2.14321e+12,0.24928,1.80768e+08,0
11,-1770.60662,5.49713e+11,-1,-1772.36164,6.53367e+12,0.19487,2.92743e+08,3
12,-1770.54939,2.33205e+12,-1,-1770.77989,1.53836e+12,0.25210,1.35722e+08,1
