proc #,saddle energy,prefactor,product,product energy,product prefactor,barrier,rate,repeats
0,-1769.51392,2.01208e+12,7,-1769.52036,5.45646e+11,0.83868,1.63856e-02,0
1,-1769.72664,2.65242e+12,-1,-1770.20534,2.05614e+12,0.62596,8.09187e+01,0
2,-1770.31039,6.37303e+11,-1,-1770.32201,4.63804e+11,0.04221,1.24539e+11,2
3,-1770.35055,4.12728e+11,10,-1770.41321,6.86072e+11,0.00205,3.81200e+11,3
4,-1770.02055,7.11537e+11,-1,-1771.15474,2.68861e+12,0.33205,1.87935e+06,1
5,-1770.34638,4.40836e+11,9,-1770.40094,7.53038e+11,0.00622,3.46528e+11,4
6,-1770.31449,6.12468e+11,-1,-1771.76127,1.93921e+13,0.03811,1.40211e+11,2
7,-1770.23947,1.21672e+12,-1,-1771.13237,2.96346e+12,0.11313,1.52977e+10,2
8,-1770.30877,7.22659e+11,-1,-1770.33215,6.15219e+11,0.04383,1.32607e+11,1
9,-1770.32746,6.11410e+11,-1,-1770.82005,4.61094e+12,0.02514,2.31218e+11,8
10,-1770.12999,4.44490e+11,-1,-1771.18617,1.49606e+12,0.22261,8.09397e+07,2
11,-1770.15159,4.52941e+11,-1,-1770.36612,2.58940e+11,0.20101,1.90176e+08,2
