proc #,saddle energy,prefactor,product,product energy,product prefactor,barrier,rate,repeats
0,-1768.74441,3.16422e+12,6,-1768.76783,7.18677e+11,0.77595,2.91676e-01,0
1,-1769.48236,5.61758e+11,-1,-1770.28122,1.13615e+12,0.03800,1.29182e+11,5
2,-1769.51793,4.26317e+11,-1,-1769.57732,6.85031e+11,0.00243,3.88081e+11,1
3,-1769.44402,6.88182e+11,-1,-1769.44763,4.44647e+11,0.07634,3.59104e+10,1
4,-1769.51392,5.45646e+11,8,-1770.35260,2.01208e+12,0.00644,4.25354e+11,10
5,-1769.45811,6.97522e+11,-1,-1769.46041,4.04769e+11,0.06225,6.27763e+10,1
6,-1769.47070,7.18860e+11,-1,-1769.48051,5.47986e+11,0.04966,1.05273e+11,1
7,-1769.51382,4.58837e+11,-1,-1769.56847,7.71691e+11,0.00654,3.56246e+11,1
8,-1769.44513,7.93508e+11,-1,-1769.44576,2.88757e+11,0.07523,4.32230e+10,1
9,-1769.41676,5.35757e+11,-1,-1769.46113,6.50974e+11,0.10360,9.74051e+09,8
10,-1769.42795,6.39132e+11,-1,-1769.42801,1.52430e+11,0.09241,1.79148e+10,0
11,-1769.47600,7.14191e+11,-1,-1769.49085,5.02766e+11,0.04436,1.28417e+11,0
12,-1769.46980,7.57461e+11,-1,-1769.47479,4.74853e+11,0.05056,1.07130e+11,0
