proc #,saddle energy,prefactor,product,product energy,product prefactor,barrier,rate,repeats
0,-1770.35055,6.86072e+11,8,-1770.35260,4.12728e+11,0.06266,6.07757e+10,5
1,-1770.37094,6.34944e+11,-1,-1771.76127,1.19931e+13,0.04227,1.23793e+11,2
2,-1770.38837,5.98969e+11,-1,-1770.88251,5.19744e+12,0.02484,2.29108e+11,3
3,-1770.36939,7.46225e+11,11,-1770.37732,9.58423e+10,0.04382,1.37010e+11,3
4,-1770.29663,1.16779e+12,-1,-1771.13220,1.43424e+12,0.11658,1.28507e+10,3
5,-1770.37423,6.57326e+11,-1,-1770.38565,4.42622e+11,0.03898,1.45511e+11,3
6,-1770.07694,7.88092e+11,-1,-1770.36570,5.97496e+11,0.33627,1.76805e+06,3
7,-1770.35441,7.65742e+11,-1,-1770.35621,3.64742e+11,0.05880,7.87583e+10,3
8,-1770.05557,7.89908e+11,-1,-1770.26021,5.33151e+11,0.35764,7.75354e+05,0
9,-1770.34475,8.38613e+11,-1,-1770.34500,2.32720e+11,0.06846,5.93638e+10,4
10,-1770.33418,8.12632e+11,-1,-1770.33661,4.05384e+11,0.07903,3.82178e+10,2
11,-1770.04787,7.21417e+11,-1,-1770.25204,4.93019e+11,0.36534,5.25688e+05,1
12,-1770.17715,7.83691e+11,-1,-1771.10823,9.81275e+11,0.23606,8.48142e+07,1
13,-1770.02492,8.61972e+11,-1,-1770.85405,7.25171e+12,0.38829,2.58570e+05,0
