state,good saddles,bad saddles,total saddles,unique saddles,force call saddle
0,38,139,177,8,2717
1,37,25,62,9,2916
2,90,30,120,4,1601
3,61,53,114,7,2468
4,71,48,119,8,3322
5,43,150,193,3,1472
6,62,43,105,6,2339
7,145,247,392,5,2500
8,37,40,77,6,2424
9,58,178,236,7,4760
