state,good saddles,bad saddles,total saddles,unique saddles,force call saddle
0,63,26,89,13,4408
1,51,25,76,8,3322
2,46,25,71,6,2117
3,295,250,545,8,4363
4,42,59,101,4,2106
5,231,185,416,11,4239
6,79,96,175,8,2536
7,27,38,65,4,1554
8,39,48,87,6,2223
9,46,38,84,8,2285
