state,good saddles,bad saddles,total saddles,unique saddles,force call saddle
0,59,96,155,4,2750
1,89,45,134,4,1669
2,114,50,164,10,3250
3,77,34,111,7,1913
4,104,32,136,6,2604
5,51,67,118,6,2841
6,71,31,102,7,2370
7,98,148,246,7,2572
8,58,23,81,8,2622
9,63,36,99,4,1351
