proc #,saddle energy,prefactor,product,product energy,product prefactor,barrier,rate,repeats,force call minimization,force call saddle
0,-1768.04476,1.00000e+12,-1,-1768.78181,1.00000e+12,0.03499,2.58295e+11,8,461,294
1,-1768.05539,1.00000e+12,1,-1769.50814,1.00000e+12,0.02437,3.89631e+11,5,447,284
2,-1767.99054,1.00000e+12,-1,-1768.03165,1.00000e+12,0.08922,3.17107e+10,5,309,267
3,-1768.05762,1.00000e+12,-1,-1768.81889,1.00000e+12,0.02214,4.24620e+11,0,525,480
4,-1768.00721,1.00000e+12,-1,-1768.05774,1.00000e+12,0.07255,6.04209e+10,0,307,298
5,-1768.04780,1.00000e+12,-1,-1770.71366,1.00000e+12,0.03196,2.90518e+11,6,575,371
6,-1768.02304,1.00000e+12,-1,-1768.08527,1.00000e+12,0.05672,1.11461e+11,0,307,303
7,-1768.05164,1.00000e+12,-1,-1769.57601,1.00000e+12,0.02812,3.36950e+11,5,485,257
8,-1768.02517,1.00000e+12,-1,-1768.09019,1.00000e+12,0.05459,1.21025e+11,8,313,284
9,-1768.01486,1.00000e+12,-1,-1768.83153,1.00000e+12,0.06490,8.12462e+10,5,383,308
10,-1768.01636,1.00000e+12,-1,-1768.06555,1.00000e+12,0.06340,8.60905e+10,1,313,265
11,-1768.05878,1.00000e+12,-1,-1769.56329,1.00000e+12,0.02098,4.44138e+11,0,477,719
12,-1768.01912,1.00000e+12,-1,-1768.07299,1.00000e+12,0.06064,9.57935e+10,1,311,278
