proc #,saddle energy,prefactor,product,product energy,product prefactor,barrier,rate,repeats,force call minimization,force call saddle
0,-1768.72686,1.00000e+12,-1,-1768.74257,1.00000e+12,1.34605,2.43985e-11,0,457,469
1,-1770.01179,1.00000e+12,1,-1770.06228,1.00000e+12,0.06112,9.40147e+10,0,309,284
2,-1770.00929,1.00000e+12,-1,-1770.06382,1.00000e+12,0.06362,8.53441e+10,2,313,276
3,-1770.01219,1.00000e+12,-1,-1770.06415,1.00000e+12,0.06072,9.54709e+10,7,309,266
4,-1770.01652,1.00000e+12,-1,-1770.06673,1.00000e+12,0.05640,1.12857e+11,5,313,277
5,-1770.02127,1.00000e+12,-1,-1770.08095,1.00000e+12,0.05164,1.35654e+11,0,307,317
6,-1770.01352,1.00000e+12,-1,-1770.06735,1.00000e+12,0.05939,1.00515e+11,14,309,275
7,-1769.81690,1.00000e+12,-1,-1770.02950,1.00000e+12,0.25601,5.00206e+07,0,331,372
