proc #,saddle energy,prefactor,product,product energy,product prefactor,barrier,rate,repeats,force call minimization,force call saddle
0,-1773.55663,1.00000e+12,-1,-1773.61173,1.00000e+12,0.05997,9.83039e+10,1,237,145
1,-1773.56115,1.00000e+12,-1,-1773.61412,1.00000e+12,0.05545,1.17092e+11,7,241,142
2,-1773.25151,1.00000e+12,-1,-1773.62245,1.00000e+12,0.36508,7.36004e+05,2,285,340
3,-1773.15629,1.00000e+12,-1,-1773.59991,1.00000e+12,0.46030,1.85033e+04,2,299,374
4,-1773.55792,1.00000e+12,1,-1773.61862,1.00000e+12,0.05867,1.03353e+11,12,237,134
5,-1773.15782,1.00000e+12,-1,-1773.60202,1.00000e+12,0.45877,1.96329e+04,0,305,187
