state,good saddles,bad saddles,total saddles,unique saddles,force call saddle
0,42,31,73,7,1639
1,39,33,72,6,1286
2,41,34,75,8,2237
3,44,25,69,6,1280
4,36,35,71,6,1307
5,38,40,78,6,1322
6,45,32,77,6,1272
7,45,33,78,7,1412
8,42,35,77,7,1832
9,26,14,40,6,1296
