state,good saddles,bad saddles,total saddles,unique saddles,force call saddle
0,21,0,21,1,153
1,21,1,22,1,154
2,21,0,21,1,171
3,21,0,21,1,168
4,21,0,21,1,197
5,21,1,22,1,169
6,21,0,21,1,169
7,21,1,22,1,152
8,21,0,21,1,174
9,21,0,21,1,198
