proc #,saddle energy,prefactor,product,product energy,product prefactor,barrier,rate,repeats
0,-1772.52361,2.17517e+12,12,-1772.70665,1.86170e+12,0.26137,8.84458e+07,4
1,-1772.55724,2.77129e+12,14,-1772.80314,2.79019e+12,0.22774,4.13864e+08,3
2,-1772.10402,8.86885e+12,-1,-1772.20751,1.36388e+12,0.68096,3.22307e+01,3
3,-1772.56900,2.80799e+12,-1,-1772.83178,2.63365e+12,0.21598,6.60837e+08,2
4,-1772.09175,8.40431e+12,-1,-1772.18825,1.26322e+12,0.69323,1.89973e+01,1
5,-1772.37510,1.96643e+12,-1,-1772.81182,1.93376e+12,0.40988,2.55904e+05,5
6,-1772.53575,2.14429e+12,-1,-1772.71472,1.83497e+12,0.24923,1.39451e+08,2
7,-1772.53191,2.21844e+12,-1,-1772.71415,1.84773e+12,0.25307,1.24340e+08,6
8,-1772.24661,1.18020e+13,-1,-1772.26351,1.55286e+12,0.53837,1.06595e+04,2
9,-1772.25061,9.42518e+12,-1,-1772.26459,1.17597e+12,0.53437,9.93621e+03,1
10,-1772.24828,1.09546e+13,-1,-1772.26680,1.40629e+12,0.53670,1.05546e+04,3
