proc #,saddle energy,prefactor,product,product energy,product prefactor,barrier,rate,repeats
0,-1772.56319,2.80090e+12,14,-1772.80314,2.75954e+12,0.22025,5.58813e+08,3
1,-1772.53280,2.21126e+12,-1,-1772.71294,1.89516e+12,0.25064,1.36150e+08,6
2,-1772.52974,2.12381e+12,-1,-1772.71195,1.83715e+12,0.25370,1.16198e+08,1
3,-1772.24781,1.00590e+13,-1,-1772.26328,1.26738e+12,0.53563,1.01005e+04,2
4,-1772.52560,2.23212e+12,-1,-1772.70665,1.85322e+12,0.25784,1.04024e+08,7
5,-1772.24720,1.18152e+13,-1,-1772.26460,1.55238e+12,0.53624,1.15895e+04,4
6,-1772.24811,1.11717e+13,-1,-1772.26516,1.42044e+12,0.53533,1.13517e+04,2
7,-1772.36723,1.98524e+12,-1,-1772.80182,1.91578e+12,0.41621,2.02242e+05,2
8,-1772.09138,8.46741e+12,-1,-1772.18223,1.31452e+12,0.69206,2.00326e+01,1
9,-1772.08590,8.18189e+12,-1,-1772.17671,1.44917e+12,0.69754,1.56596e+01,0
10,-1772.55388,2.77642e+12,16,-1772.79578,2.73431e+12,0.22956,3.86466e+08,6
