proc #,saddle energy,prefactor,product,product energy,product prefactor,barrier,rate,repeats
0,-1772.55099,1.76561e+12,19,-1772.82867,2.14540e+12,0.16609,2.86227e+09,1
1,-1772.47762,2.71811e+12,-1,-1772.70552,2.75338e+12,0.23946,2.57951e+08,1
2,-1772.28392,1.95049e+12,-1,-1772.70907,1.97867e+12,0.43316,1.03116e+05,3
3,-1772.48136,2.77106e+12,-1,-1772.70811,2.76038e+12,0.23572,3.03939e+08,4
4,-1772.21327,9.64844e+12,-1,-1772.72181,9.67986e+12,0.50381,3.31777e+04,4
5,-1772.42974,1.60887e+12,-1,-1772.71946,1.61455e+12,0.28734,2.39589e+07,4
6,-1772.21538,9.77771e+12,-1,-1772.71946,9.65744e+12,0.50170,3.64792e+04,4
7,-1772.43105,1.65229e+12,-1,-1772.72181,1.68952e+12,0.28603,2.58866e+07,1
8,-1772.54731,1.72805e+12,-1,-1772.82132,2.11448e+12,0.16977,2.42932e+09,3
9,-1772.51701,2.43498e+12,-1,-1772.73000,2.60239e+12,0.20007,1.06061e+09,2
10,-1772.54530,1.81305e+12,21,-1772.82588,2.18180e+12,0.17178,2.35811e+09,1
11,-1772.51765,2.38736e+12,-1,-1772.73000,2.53248e+12,0.19943,1.06553e+09,5
