proc #,saddle energy,prefactor,product,product energy,product prefactor,barrier,rate,repeats
0,-1772.56995,2.76782e+12,9,-1772.81182,2.74288e+12,0.21609,6.48621e+08,5
1,-1772.52812,2.21089e+12,12,-1772.70665,1.90728e+12,0.25792,1.02740e+08,3
2,-1772.24953,9.93798e+12,-1,-1772.26396,1.23027e+12,0.53651,9.64502e+03,3
3,-1772.53279,2.18527e+12,-1,-1772.70923,1.80071e+12,0.25325,1.21637e+08,6
4,-1772.25026,9.91577e+12,-1,-1772.26449,1.23783e+12,0.53578,9.89874e+03,2
5,-1772.52984,2.13301e+12,-1,-1772.71189,1.83743e+12,0.25620,1.05936e+08,4
6,-1772.24686,1.20964e+13,-1,-1772.26410,1.58701e+12,0.53918,1.05907e+04,3
7,-1772.09834,8.49363e+12,-1,-1772.19081,1.30234e+12,0.68770,2.37798e+01,2
8,-1772.37621,2.00858e+12,-1,-1772.83274,1.87006e+12,0.40983,2.61826e+05,4
9,-1772.09154,8.29477e+12,-1,-1772.18342,1.40710e+12,0.69450,1.78554e+01,0
10,-1772.55766,2.74759e+12,-1,-1772.80183,2.72080e+12,0.22838,4.00212e+08,2
