proc #,saddle energy,prefactor,product,product energy,product prefactor,barrier,rate,repeats
0,-1772.54530,2.18180e+12,20,-1772.71708,1.81305e+12,0.28058,4.21974e+07,2
1,-1772.54982,1.69325e+12,-1,-1772.85200,1.69272e+12,0.27606,3.90030e+07,1
2,-1772.32002,9.58121e+12,-1,-1772.82431,9.31708e+12,0.50586,3.04306e+04,2
3,-1772.39909,1.91513e+12,-1,-1772.81583,1.95044e+12,0.42679,1.29565e+05,5
4,-1772.57838,2.72976e+12,-1,-1772.80797,2.80294e+12,0.24750,1.89827e+08,3
5,-1772.59512,2.91266e+12,22,-1772.83749,2.80882e+12,0.23076,3.87057e+08,5
6,-1772.53394,1.60208e+12,-1,-1772.82431,1.59688e+12,0.29194,1.99651e+07,1
7,-1772.11577,7.78722e+12,-1,-1772.20073,1.30062e+12,0.71011,9.16484e+00,0
8,-1772.55737,2.09102e+12,-1,-1772.72452,1.73686e+12,0.26851,6.45001e+07,4
9,-1772.27187,9.02395e+12,-1,-1772.27713,7.92057e+11,0.55401,4.45134e+03,1
10,-1772.55958,2.08786e+12,-1,-1772.72504,1.69146e+12,0.26630,7.01497e+07,5
11,-1772.27288,1.42010e+13,-1,-1772.28321,1.37158e+12,0.55300,7.28432e+03,1
12,-1772.26562,1.30602e+13,-1,-1772.27540,1.33581e+12,0.56026,5.05896e+03,1
13,-1772.10014,7.68212e+12,-1,-1772.18145,1.10305e+12,0.72574,4.93909e+00,1
