force call minization,force call saddle
215,243
179,175
183,395
301,353
189,119
185,104
179,125
177,622
343,313
287,108
289,130
283,185
175,107
239,122
281,126
285,109
305,163
215,149
295,129
289,180
285,197
229,123
287,108
293,187
325,169
289,179
309,161
