proc #,saddle energy,prefactor,product,product energy,product prefactor,barrier,rate,repeats
0,-1767.97255,4.42860e+11,1,-1768.02274,6.58804e+11,0.09213,1.25474e+10,2
1,-1768.00206,6.31041e+11,-1,-1768.05590,7.01946e+11,0.06262,5.59851e+10,4
2,-1768.01367,7.40354e+11,-1,-1768.83533,2.28115e+12,0.05101,1.02936e+11,2
3,-1768.00213,6.60456e+11,-1,-1768.79673,2.31526e+12,0.06255,5.87649e+10,4
4,-1768.02713,6.74414e+11,-1,-1768.82235,2.25415e+12,0.03755,1.57808e+11,2
5,-1768.01197,6.86481e+11,-1,-1768.06771,6.34351e+11,0.05271,8.93736e+10,2
6,-1768.01183,7.04255e+11,-1,-1768.07495,6.44114e+11,0.05285,9.11920e+10,2
7,-1768.02589,6.60182e+11,-1,-1769.60977,8.60562e+12,0.03879,1.47213e+11,2
8,-1768.05624,1.11545e+12,-1,-1769.34600,4.13984e+13,0.00844,8.04666e+11,3
9,-1768.00735,6.90724e+11,-1,-1768.06342,6.40226e+11,0.05733,7.52056e+10,2
10,-1767.99976,7.07240e+11,-1,-1768.04871,6.89543e+11,0.06492,5.74110e+10,3
11,-1768.02401,6.81617e+11,3,-1768.83533,2.08291e+12,0.04067,1.41342e+11,1
12,-1768.00098,7.31345e+11,-1,-1768.05397,7.08532e+11,0.06370,6.22341e+10,2
13,-1768.04308,7.57230e+11,-1,-1768.77460,3.21669e+12,0.02160,3.28393e+11,2
14,-1768.01473,6.02646e+11,-1,-1770.70744,3.36094e+14,0.04995,8.72714e+10,0
15,-1768.03725,9.31017e+11,-1,-1769.49822,5.68253e+12,0.02743,3.22161e+11,1
