proc #,saddle energy,prefactor,product,product energy,product prefactor,barrier,rate,repeats
0,-1772.51559,2.43325e+12,17,-1772.73119,2.58826e+12,0.20622,8.35312e+08,3
1,-1772.21327,9.55606e+12,-1,-1772.71708,9.74138e+12,0.50854,2.73632e+04,3
2,-1772.48561,2.76947e+12,-1,-1772.70907,2.75833e+12,0.23620,2.98095e+08,4
3,-1772.43105,1.66649e+12,-1,-1772.71708,1.66622e+12,0.29076,2.17419e+07,1
4,-1772.29557,2.00212e+12,-1,-1772.73975,1.84250e+12,0.42624,1.38355e+05,5
5,-1772.42827,1.61743e+12,-1,-1772.71946,1.60753e+12,0.29354,1.89501e+07,1
6,-1772.21936,9.76379e+12,-1,-1772.71946,9.55901e+12,0.50245,3.53809e+04,4
7,-1772.47593,2.74308e+12,-1,-1772.70474,2.80513e+12,0.24588,2.03072e+08,2
8,-1772.54595,1.75767e+12,-1,-1772.81901,2.15641e+12,0.17586,1.95275e+09,4
9,-1772.52463,2.46070e+12,-1,-1772.73119,2.59180e+12,0.19718,1.19835e+09,2
10,-1772.55898,1.78343e+12,-1,-1772.85199,2.11023e+12,0.16283,3.27946e+09,3
11,-1772.55334,1.76021e+12,19,-1772.82867,2.14594e+12,0.16847,2.60267e+09,2
