proc #,saddle energy,prefactor,product,product energy,product prefactor,barrier,rate,repeats
0,-1767.96453,6.52429e+11,-1,-1768.05590,4.34524e+11,0.04966,9.55566e+10,6
1,-1767.95677,7.14293e+11,-1,-1768.01011,6.81886e+11,0.05742,7.75067e+10,9
2,-1767.96487,7.10004e+11,-1,-1768.02279,6.05186e+11,0.04932,1.05355e+11,17
3,-1767.94739,6.76114e+11,-1,-1768.00637,6.29587e+11,0.06679,5.10420e+10,2
4,-1767.96037,6.95234e+11,1,-1768.02274,6.24336e+11,0.05382,8.66906e+10,1
5,-1767.98349,6.93255e+11,-1,-1770.08736,4.14677e+13,0.03070,2.11409e+11,3
6,-1767.96014,6.73679e+11,-1,-1768.02124,6.69524e+11,0.05405,8.32577e+10,1
7,-1767.96103,7.13549e+11,-1,-1768.02755,6.16287e+11,0.05316,9.12768e+10,3
8,-1767.94587,6.81088e+11,-1,-1768.00218,6.24203e+11,0.06832,4.84701e+10,9
9,-1767.95911,7.17486e+11,-1,-1768.01682,6.55765e+11,0.05508,8.52273e+10,3
10,-1767.95057,7.05477e+11,-1,-1768.00797,6.85087e+11,0.06362,6.02245e+10,0
