proc #,saddle energy,prefactor,product,product energy,product prefactor,barrier,rate,repeats
0,-1771.37553,1.97179e+12,5,-1771.41883,6.94031e+11,0.84311,1.35288e-02,0
1,-1771.68041,9.35684e+12,-1,-1771.69382,1.16578e+12,0.53823,8.49601e+03,2
2,-1772.14936,6.32439e+11,7,-1772.15510,4.94576e+11,0.06928,4.33652e+10,17
3,-1771.68084,1.26164e+13,-1,-1771.69915,1.69300e+12,0.53780,1.16493e+04,2
4,-1772.14936,6.28096e+11,8,-1772.15510,5.31297e+11,0.06928,4.30702e+10,5
5,-1771.96046,2.17000e+12,-1,-1772.13320,1.84755e+12,0.25818,9.98267e+07,1
6,-1771.95656,2.53334e+12,-1,-1772.81182,1.29726e+13,0.26208,1.00220e+08,1
7,-1771.95656,2.57328e+12,-1,-1772.81182,1.30720e+13,0.26208,1.01807e+08,1
8,-1771.96267,2.11829e+12,-1,-1772.14348,1.81405e+12,0.25597,1.06143e+08,1
9,-1771.68041,9.60530e+12,-1,-1771.69382,1.19309e+12,0.53823,8.72145e+03,2
10,-1771.71138,1.33439e+13,-1,-1771.72202,8.47208e+11,0.50726,4.01440e+04,2
11,-1771.96267,2.15173e+12,-1,-1772.14348,1.84794e+12,0.25597,1.07823e+08,1
12,-1771.65101,1.23238e+13,-1,-1771.70977,1.21448e+12,0.56763,3.58953e+03,0
13,-1771.65101,1.38315e+13,-1,-1771.70977,1.38240e+12,0.56763,4.02882e+03,0
