proc #,saddle energy,prefactor,product,product energy,product prefactor,barrier,rate,repeats
0,-1772.08442,7.27791e+12,8,-1772.15510,1.24162e+12,0.72740,4.38777e+00,1
1,-1772.55898,2.11620e+12,-1,-1772.73742,1.80176e+12,0.25284,1.19675e+08,14
2,-1772.56129,2.18330e+12,-1,-1772.73422,1.85636e+12,0.25053,1.35024e+08,14
3,-1772.55875,2.26370e+12,-1,-1772.74422,1.85691e+12,0.25307,1.26875e+08,10
4,-1772.37510,1.93291e+12,-1,-1772.78498,1.96934e+12,0.43672,8.90691e+04,5
5,-1772.27830,9.84703e+12,-1,-1772.29264,1.24853e+12,0.53352,1.07302e+04,1
6,-1772.27796,1.08137e+13,-1,-1772.29550,1.37713e+12,0.53386,1.16289e+04,1
7,-1772.27830,9.27970e+12,-1,-1772.29317,1.15997e+12,0.53352,1.01114e+04,1
8,-1772.08725,7.40252e+12,-1,-1772.15976,1.15107e+12,0.72457,4.98012e+00,0
9,-1772.52030,1.63744e+12,-1,-1772.81146,1.62359e+12,0.29152,2.07455e+07,2
10,-1772.57041,2.75528e+12,10,-1772.79149,2.72568e+12,0.24141,2.42432e+08,0
11,-1772.51760,1.62644e+12,-1,-1772.81182,1.64639e+12,0.29422,1.85622e+07,1
12,-1772.30702,9.60660e+12,-1,-1772.81146,9.46965e+12,0.50480,3.17976e+04,1
13,-1772.30022,9.47604e+12,-1,-1772.81182,9.60638e+12,0.51160,2.41042e+04,2
14,-1772.06641,5.70236e+12,-1,-1772.83474,5.50071e+12,0.74541,1.71321e+00,0
15,-1772.56995,2.74288e+12,11,-1772.78604,2.76782e+12,0.24187,2.37145e+08,1
