state,good saddles,bad saddles,total saddles,unique saddles,force call saddle
0,49,44,93,3,1045
1,111,37,148,6,2472
2,51,7,58,6,1776
3,59,33,92,3,843
4,79,29,108,5,1792
5,51,23,74,4,951
6,40,12,52,7,1359
7,42,33,75,6,2195
8,40,7,47,7,1427
9,40,10,50,4,1235
