proc #,saddle energy,prefactor,product,product energy,product prefactor,barrier,rate,repeats,force call minimization,force call saddle
0,-1206.36632,1.00000e+12,-1,-1206.82582,1.00000e+12,0.45951,1.90836e+04,1,199,823
1,-1206.59299,1.00000e+12,-1,-1206.82583,1.00000e+12,0.23284,1.22599e+08,16,195,5950
2,-1206.59299,1.00000e+12,-1,-1206.82583,1.00000e+12,0.23283,1.22626e+08,14,187,5363
3,-1206.36631,1.00000e+12,-1,-1206.82582,1.00000e+12,0.45951,1.90790e+04,1,197,745
4,-1206.11092,1.00000e+12,-1,-1206.11184,1.00000e+12,0.71491,9.77434e-01,2,213,2012
5,-1206.59298,1.00000e+12,1,-1206.82582,1.00000e+12,0.23284,1.22573e+08,14,197,734
6,-1206.59299,1.00000e+12,-1,-1206.82583,1.00000e+12,0.23284,1.22599e+08,13,195,8182
7,-1206.11092,1.00000e+12,-1,-1206.11184,1.00000e+12,0.71491,9.77488e-01,3,225,1869
8,-1206.38804,1.00000e+12,-1,-1206.40520,1.00000e+12,0.43778,4.42168e+04,0,221,2895
9,-1206.08030,1.00000e+12,-1,-1206.82583,1.00000e+12,0.74552,2.99084e-01,0,335,5459
