proc #,saddle energy,prefactor,product,product energy,product prefactor,barrier,rate,repeats,force call minimization,force call saddle
0,-1206.59298,1.00000e+12,1,-1206.82582,1.00000e+12,0.23285,1.22550e+08,8,193,633
1,-1206.59298,1.00000e+12,-1,-1206.82583,1.00000e+12,0.23284,1.22576e+08,5,191,579
2,-1206.45379,1.00000e+12,-1,-1206.82582,1.00000e+12,0.37203,5.62534e+05,2,171,353
3,-1206.59298,1.00000e+12,-1,-1206.82582,1.00000e+12,0.23285,1.22549e+08,8,187,4723
4,-1206.59298,1.00000e+12,-1,-1206.82583,1.00000e+12,0.23284,1.22576e+08,1,193,7180
