state,good saddles,bad saddles,total saddles,unique saddles,force call saddle
0,42,8,50,13,3666
1,78,31,109,7,2627
2,52,28,80,7,2393
3,133,95,228,5,2557
4,45,56,101,5,1823
5,102,68,170,7,2614
6,104,133,237,8,2462
7,114,103,217,4,1613
8,54,52,106,8,2697
9,46,62,108,11,3199
