proc #,saddle energy,prefactor,product,product energy,product prefactor,barrier,rate,repeats
0,-1770.30121,4.49622e+12,13,-1770.31922,3.79870e+11,0.55284,2.32038e+03,2
1,-1770.34400,5.51481e+12,-1,-1770.37330,6.65541e+11,0.51005,1.48981e+04,2
2,-1770.76905,8.87031e+11,-1,-1770.77040,3.30905e+11,0.08500,3.31149e+10,4
3,-1770.31282,9.81525e+12,-1,-1770.32654,1.24282e+12,0.54123,7.93711e+03,2
4,-1770.79261,7.72579e+11,-1,-1770.79373,3.39333e+11,0.06144,7.17457e+10,4
5,-1770.79861,6.49269e+11,15,-1770.80149,4.40909e+11,0.05544,7.60585e+10,5
6,-1770.79628,7.70250e+11,-1,-1770.80124,3.18084e+11,0.05777,8.24366e+10,2
7,-1770.79389,7.76035e+11,-1,-1770.79672,3.56834e+11,0.06016,7.57248e+10,4
8,-1770.62533,2.24029e+12,-1,-1770.84381,1.02300e+12,0.22872,3.22079e+08,0
9,-1770.34801,1.13331e+13,-1,-1770.38756,1.26963e+12,0.50604,3.57497e+04,1
10,-1770.79704,6.67325e+11,17,-1770.80213,4.75268e+11,0.05701,7.35648e+10,4
11,-1770.78951,7.59893e+11,16,-1770.79546,4.80956e+11,0.06454,6.25950e+10,2
12,-1770.77657,8.32033e+11,-1,-1770.77943,3.77533e+11,0.07748,4.15529e+10,0
