proc #,saddle energy,prefactor,product,product energy,product prefactor,barrier,rate,repeats
0,-1770.36939,9.58423e+10,10,-1770.41321,7.46225e+11,0.00793,7.05244e+10,8
1,-1770.02981,1.96115e+11,-1,-1770.31380,7.32864e+11,0.34751,2.84824e+05,6
2,-1769.87122,3.37825e+11,-1,-1770.50665,2.44650e+12,0.50610,1.06314e+03,7
3,-1770.00383,1.46287e+11,-1,-1770.20757,4.88248e+11,0.37349,7.77811e+04,2
4,-1770.15885,1.02678e+11,-1,-1771.67153,1.20585e+13,0.21847,2.19420e+07,8
5,-1770.29163,4.23608e+11,-1,-1770.29349,3.88493e+11,0.08569,1.53949e+10,5
6,-1770.13787,3.45965e+11,-1,-1771.05972,1.37621e+12,0.23945,3.28413e+07,8
7,-1769.99989,1.74730e+11,-1,-1770.20016,6.25221e+11,0.37743,7.97689e+04,3
8,-1770.11814,2.65946e+11,-1,-1770.38052,6.51174e+11,0.25918,1.17690e+07,2
9,-1770.37731,8.87997e+10,12,-1770.38677,4.98428e+11,0.00001,8.87516e+10,1
10,-1770.30306,8.39996e+11,-1,-1770.36528,9.62638e+11,0.07426,4.75005e+10,1
