proc #,saddle energy,prefactor,product,product energy,product prefactor,barrier,rate,repeats
0,-1770.37731,4.98428e+11,11,-1770.37732,8.87997e+10,0.00946,3.45686e+11,0
1,-1770.30300,8.01486e+11,-1,-1770.30457,3.59096e+11,0.08377,3.13811e+10,5
2,-1770.14245,7.46672e+11,-1,-1771.05022,8.88984e+11,0.24432,5.87151e+07,2
3,-1770.01996,1.07091e+12,-1,-1770.30540,5.50619e+11,0.36681,7.37374e+05,4
4,-1770.35596,6.19568e+11,-1,-1771.10896,1.16107e+12,0.03081,1.88143e+11,2
5,-1770.35365,5.01169e+11,-1,-1770.37330,6.99638e+11,0.03312,1.39163e+11,1
6,-1770.30627,1.77267e+12,-1,-1770.39644,1.66350e+12,0.08050,7.87550e+10,7
7,-1770.35555,6.17515e+11,-1,-1771.29024,2.74828e+12,0.03122,1.84578e+11,4
8,-1770.32693,7.83743e+11,-1,-1770.33024,4.34426e+11,0.05984,7.74211e+10,0
9,-1770.32993,6.16179e+11,-1,-1770.33215,4.23809e+11,0.05684,6.83685e+10,2
10,-1770.31648,7.84459e+11,-1,-1770.31651,1.19392e+11,0.07029,5.17219e+10,0
11,-1770.09114,5.21170e+11,-1,-1770.88251,6.21505e+12,0.29563,5.63242e+06,1
12,-1770.31503,4.58551e+11,13,-1770.31922,4.60282e+11,0.07174,2.85851e+10,1
