proc #,saddle energy,prefactor,product,product energy,product prefactor,barrier,rate,repeats
0,-1770.78951,4.80956e+11,14,-1770.85405,7.59893e+11,0.00595,3.82076e+11,9
1,-1770.74012,6.14194e+11,-1,-1770.74184,4.04129e+11,0.05534,7.22030e+10,4
2,-1770.73346,8.46246e+11,-1,-1770.73633,3.10640e+11,0.06200,7.68998e+10,4
3,-1770.28859,1.25728e+13,-1,-1770.32596,1.37986e+12,0.50687,3.84066e+04,3
4,-1770.56390,2.16463e+12,-1,-1770.78426,8.59811e+11,0.23156,2.78822e+08,1
5,-1770.71313,8.57775e+11,-1,-1770.71476,3.56993e+11,0.08233,3.55028e+10,2
6,-1770.73509,7.46523e+11,-1,-1770.73663,3.64445e+11,0.06037,7.22523e+10,2
7,-1770.63440,4.58863e+11,-1,-1771.62303,9.41671e+11,0.16106,9.03553e+08,4
8,-1770.58897,4.67329e+11,-1,-1770.89519,5.96919e+11,0.20649,1.58732e+08,3
9,-1770.54343,2.79525e+12,-1,-1770.84128,3.41241e+12,0.25203,1.63103e+08,0
10,-1770.79198,4.62262e+11,-1,-1770.86060,7.32445e+11,0.00348,4.04052e+11,1
11,-1770.54557,2.11264e+12,-1,-1770.72819,1.82019e+12,0.24989,1.33919e+08,0
