proc #,saddle energy,prefactor,product,product energy,product prefactor,barrier,rate,repeats
0,-1770.74118,1.00000e+12,17,-1770.80213,1.00000e+12,0.00207,9.23051e+11,3
1,-1770.29504,1.00000e+12,-1,-1771.13480,1.00000e+12,0.44821,2.95436e+04,3
2,-1770.55316,1.00000e+12,-1,-1772.82004,1.00000e+12,0.19009,6.40573e+08,4
3,-1770.73621,1.00000e+12,19,-1770.79373,1.00000e+12,0.00704,7.61604e+11,5
4,-1770.23424,1.00000e+12,-1,-1770.26223,1.00000e+12,0.50901,2.81248e+03,2
5,-1770.54393,1.00000e+12,-1,-1772.87945,1.00000e+12,0.19932,4.48378e+08,1
6,-1770.55661,1.00000e+12,-1,-1773.67795,1.00000e+12,0.18664,7.32039e+08,4
7,-1770.48947,1.00000e+12,-1,-1770.74134,1.00000e+12,0.25378,5.45272e+07,1
8,-1770.49098,1.00000e+12,-1,-1770.66714,1.00000e+12,0.25227,5.78095e+07,1
9,-1770.73797,1.00000e+12,-1,-1770.79698,1.00000e+12,0.00528,8.15399e+11,4
10,-1770.54694,1.00000e+12,-1,-1772.79495,1.00000e+12,0.19631,5.03697e+08,1
11,-1770.73618,1.00000e+12,-1,-1770.79975,1.00000e+12,0.00707,7.60688e+11,1
12,-1770.59856,1.00000e+12,-1,-1773.63027,1.00000e+12,0.14469,3.70975e+09,4
