proc #,saddle energy,prefactor,product,product energy,product prefactor,barrier,rate,repeats
0,-1768.70538,4.08050e+11,2,-1768.76481,7.30630e+11,0.00325,3.59845e+11,1
1,-1768.65102,7.00296e+11,-1,-1768.70622,5.54567e+11,0.05761,7.54165e+10,4
2,-1768.67209,7.34860e+11,-1,-1772.19348,1.18506e+15,0.03654,1.78765e+11,7
3,-1768.64996,6.43001e+11,-1,-1768.70456,6.99215e+11,0.05867,6.64761e+10,3
4,-1768.67012,6.52267e+11,-1,-1769.46027,2.50882e+12,0.03851,1.47083e+11,2
5,-1768.65711,6.75048e+11,-1,-1769.43997,2.56343e+12,0.05152,9.19993e+10,5
6,-1768.65792,6.98019e+11,-1,-1768.72544,6.93322e+11,0.05071,9.81771e+10,1
7,-1768.65078,6.57511e+11,-1,-1768.71764,6.81530e+11,0.05785,7.01448e+10,1
8,-1768.65578,7.55320e+11,4,-1768.72042,6.60621e+11,0.05285,9.77917e+10,6
9,-1768.64806,6.98668e+11,-1,-1768.70029,6.57126e+11,0.06057,6.71095e+10,2
10,-1768.64887,7.77125e+11,-1,-1768.65260,3.76566e+11,0.05976,7.70213e+10,0
11,-1768.65595,6.21088e+11,-1,-1768.66497,5.66729e+11,0.05268,8.09443e+10,0
12,-1768.64633,7.69234e+11,-1,-1768.65085,4.78317e+11,0.06230,6.91107e+10,0
13,-1768.70620,4.08185e+11,-1,-1768.76378,7.48339e+11,0.00243,3.71571e+11,0
14,-1768.62394,8.09995e+11,-1,-1768.62569,3.35604e+11,0.08469,3.05996e+10,0
