proc #,saddle energy,prefactor,product,product energy,product prefactor,barrier,rate,repeats,force call minimization,force call saddle
0,-1768.79817,1.00000e+12,-1,-1768.82731,1.00000e+12,0.79289,4.78610e-02,0,423,354
1,-1768.86287,1.00000e+12,-1,-1769.61909,1.00000e+12,0.72820,5.84629e-01,0,597,398
2,-1769.52822,1.00000e+12,-1,-1769.58619,1.00000e+12,0.06284,8.79678e+10,7,379,397
3,-1769.53598,1.00000e+12,-1,-1769.59430,1.00000e+12,0.05508,1.18762e+11,6,371,320
4,-1769.56790,1.00000e+12,1,-1770.24711,1.00000e+12,0.02316,4.08236e+11,6,441,342
5,-1769.51942,1.00000e+12,-1,-1769.51946,1.00000e+12,0.07164,6.25890e+10,2,427,422
6,-1769.54373,1.00000e+12,-1,-1770.36210,1.00000e+12,0.04733,1.60288e+11,4,439,358
