state,good saddles,bad saddles,total saddles,unique saddles,force call saddle
0,37,166,203,6,2543
1,30,30,60,8,2891
2,105,37,142,4,1710
3,63,47,110,7,2591
4,90,42,132,7,3501
5,77,250,327,3,1710
6,57,52,109,6,2027
7,184,338,522,10,4946
8,69,55,124,8,3904
9,57,141,198,7,4816
